,tweet,label
8,apakah uang ribu ini bisa digunakan untuk transaksi jual beli,0
13,uang rupiah ribu diburu antrean di bi malang full sampai bulan depan via radar malang online,0
18,seumur umur dr jaman uang perak sampai munculnya uang ribu kayanya enggak ada penerbitan terbatas sampe pake ktp buat ngambil uangnya k bank atau saya yang lupa atau gmn rb yang baru mncul ini ribet bener,1
23,uang kok diperjualbelikan uang ribu dibeli dengan uang ribu heran,1
25,klean udh dpt uang ribu itu blom,0
29,dicetak juta lembaruang baru rupiah ternyata hanya untuk koleksi bukan untuk transaksi modal kertascetak trus di jual ke rakyat seharga rupiah ribulembarsudah berapa uang rakyat yang di ambil ma rezim ini ini sama halnya,1
43,tips simpan uang baru rupiah ribu di rumah agar rapi dan awet,0
44,sesungguhnya warga itu kagetan kaget corona kaget psbb kaget belajar daring kaget sepedaan eh sekarang kaget uang rebu,0
48,sosok anak kecil yang ada dipecahan uang rupiah ribu yang mengenakan pakaian adat menjadi kontrovesi,0
49,warga antusias tukar uang pecahan baru rupiah ribu untuk koleksi,0
51,kenapa ya susah amat ya daftar untuk dapat uang,0
56,sekalinya ada penukaran di sulawesi barat indonesia luas sekali ya saya di banten dan yang tersedia di sulawesi barat btw kalo dibelanjain di warung ribet nih haha pictwittercomfeuzvk,1
59,begini antusias warga tukar uang pecahan baru rupiah ribu untuk koleksi,0
63,masyarakat antusias dapatkan uang edisi khusus rupiah ribu,0
65,warga gorontalo antusias ingin memiliki uang peringatan kemerdekaan upk rupiah ribu,0
67,ha ha ha sayang saya enggak pingin beli uang ribu masih ada yang ribu toh lebih banyak manfaat rebu dari rebu cuma kesing doang enggak ada yang bisa dibanggakan tahun kemerdekaan rezim sekarang bisanya cuma segitu,1
69,cerita pemotretan rahasia anak gorontalo untuk uang rupiah ribu,0
70,hujan uang pecahan ribu,0
71,mitra mtb ternyata nggak cuma pecahan ribu aja loh yang jadi nominal rupiah edisi khusus sebelumnya sudah ada beberapa uang rupiah edisiedisi khusus yang lain kirakira kalo kamu pinginnya ada uang edisi khusus pecahan berapa sih share di yaa,0
73,heboh shopee depak pedagang uang kertas rupiah ribu di lapaknya kenapa bank indonesia,1
76,udah ada yang punya uang pecahan baru ribu minta dong,0
84,sosok bocah yang terpampang di uang rupiah ribu pakai baju adat tidung bukan pakaian china,0
87,jayalahtanahairku downloadins wawancara izzam yang dikira china di uang ribu uang pecahan rupiah yang resmi diluncurkan pada saat peringatan hut ri ke menuai polemik di kalangan netizen,1
93,bi oh bi kenapa tidak mencetak uang sejumlah hutang indonesia ke negara lain kan habis itu hutangnya lunas receh banget pengetahuanku tentang perekonomian negara wkwkwkwk,1
96,dukun ini dapat amplop isi ribu dari ojol tayang di afandi channel pukul malam ini,0
99,untuk melakukan penukaran uang baru pecahan rupiah ribu syaratnya harus memilki ktp,0
100,ada apa dengan uang baru ribu dan bagaimana mendapatkannya simak pukul wib di pictwittercomqqqjfbmrq,0
105,foto aditya perpatih di uang baru rupiah ribu ibunda cerita sesi foto rahasia,0
109,segitu rasisnya sampe anak kecilnya juga dikatain,1
111,papaku yang beneran kolektor duit enggak dapet uang ribu uweeeeeee,0
115,siapa bilang itu uang uang itu alat pembayaran ini bukan alat pembayaran hanya dibuat seperti uang kertas dikasih nilai dan dijual ke masyarakat uangnya terkumpul total triliun lebih untuk apa kita enggak tau juta x ribu,0
118,pernah mbatin apa mungkin ada uang ribu sekarang ada kemarin baru aja mbatin uang ribu sekarang ada koq saya mbatin jadi milikmu enggak ter wujud yak,0
120,slot penukaran uang edisi khusus rupiah ribu sudah penuh hingga september pictwittercomrtetqyaxq,0
121,bentar lagi orang orang berebut nyari uang ribu yang baru,0
124,bocah berbaju dayak di uang rupiah ribu ayahnya pegawai bank indonesia,0
128,pengen uang ribu tp males ngantri,0
134,tak hanya rupiah pecahan ribu berikut uang khusus yang pernah dicetak bi,0
135,mau nyari uang barudki kagak bisa dapat slotnya penuh semua sampai september nunggu aja dah tahun lagikali aja ada edisi ribu pesen dari sekarang bisa ngk bankindonesia,0
149,pemesanan uang khusus hut ri rupiah ribu di sumsel capai lembar,0
151,disimpan dalam plastik dan dipajang di pigura atau ditempel dalam buku diary uang itu tidak beredar jd alat pembayaran lagian musingin ngitung kembaliannya juga tidak ditabung di bank utk mendapat bunga kegiatan yang mengherankan kamu ya ikutan koleksi uang ribu,0
157,rai mantra apresiasi peluncuran uang baru nominal rupiah ribu,0
158,duh padahal udah dihimbau supaya uang ribu itu enggak dijual biar smua bisa dapet uangnya,0
163,aditnya perpatih anak yang kenakan pakaian adat makuta dalam pecahan uang,0
168,ada cerita menarik tentang pemotretan anak berbaju adat untuk tampil di uang baru rupiah ribu ternyata pemotretan itu berlangsung secara rahasia lho begini ceritanya,0
170,wali kota risma terima uang baru pecahan rupiah ribu dari bank indonesia,0
173,nyuruh nukerin uang ribu pictwittercomeavlfgdp,1
174,supah ada uang pecahan ribu edisi hut ya allah baru tau,0
177,nukar uang baru ribu spesial hari kemerdekaan indonesia ke di bi kaltim aja full sampe tanggal september,0
178,kalo pake argumen mereka ya semua nominal mata uang sudah pasti menghasilkan keuntungan bagi bi enggak cuma nominal ribu doang pikir mereka bi mencetak uang itu enggak ada resiko inflasi kali yak dari setiap uang baru yang dicetak pasti ada uang lama bulukan yang dimusnahkan,0
179,uang pecahan baru lebih bagus pecahan ribu dibanding yang ribu kayaknya pictwittercomxxrypmqqt,1
184,viral cerita warganet jadi orang kelima yang dapatkan uang baru rupiah ribu di bali,0
185,eh kepada temen temen yang mau cari uang ribu ini dicetak sebanyak juta lembar kok jd enggak bener limited dan akan tersedia di bank umum mulai oktober gausah fomo,0
188,senilai ribu hehehe mau uang an lembar juga boleh kayanya,0
192,bi buka suara terkait tudingan yang menyebut pihaknya bisa untung hingga rupiah triliun jika juta lembar uang khusus kemerdekaan rupiah ribu laku semua via detikfinance,0
196,hoax ada budaya syahri di mata uang pecahan ribu rupiah via detaxid,1
198,bapak bapak pemerintah tolong kasih saya uang ribu yang baru buat saya review di channel yutup kantor kasih samplenya jangan nanggung lembar sekalian,0
199,deretan foto asli anakanak yang wajahnya ada di uang rupiah ribu coba simak mirip aslinya tidak,0
203,potret anak kecil di uang pecahan ribu yang baru bikin seru perbincangan barulalu hubungannya dgn perbincangan hangat keagamaanada tentumari kita liat dr daerahnyamereka bangga dgn laki kecil kelas sd kebanggaan kaltara spt botol kecil berisi surat yang dihanyutkan ke sungai,0
205,terkuak inilah makna tersembunyi dari uang pecahan baru rupiah,1
207,nah pas banget di hari ada event itu habis pembagian uang tabungan mana tu dompetnya baru dan mahal asli ya gmn sih masih smp kls beli dompet k juga mahal bet kali auto nangis enggak berenti,0
208,saya jahat nggak sih sekarang hp adikku rusak parah dan udah di konter bulan belum jadi mau beli cuma ada uang k di sisi lain saya malah mau beli hp baru padahal hp saya yang ini masih layak banget di pakai,0
210,kle bak kasi saran cara nagihin uang yang dipinjem ma tmn guyss awalnya enggak enak nagih karna dia emang ngaku bnr enggak punya uang eh makin lama storynya jek hp baru sm ke salon gen gaene,0
211,hoaks uang baru pecahan rupiah ribu tidak dapat dibelanjakan,0
212,ini sosok anak gorontalo dalam uang baru rupiah pictwittercomnqmykwm,0
218,terima dan bersyukur dulu nder bsk kalo km punya uang lebih sabi lah tuker tambah atau beli baru ortu mu syg km nder rela pontang panting beliin km itu hadiah bwt km spek lepi saya sm km tapi belinya patungan bertiga sm ortu udh bersyukur bngt,0
219,accurated contohnya cetakan uang baru rb,0
220,anda bukan orang ekonomi lihat proses coba bagaimana bi mendistribusikan uang cetakan baru apa langsung dikasih kan ke orang lain apa dipakai untuk membelikan sesuatu yang berharga tentu saja hutang tidak harus bentuk sun ada juga hutang di warung yang cukup tulis di kertas,1
229,ya allah jam segini uang baru cair alhamdulillahhhhhh,0
230,ini pas baru lulus sma kaka bilang de kamu kuliahnya taun depan aja ya kasian mama gaada uang yaudah aing nyantai enggak ngikut ujian apa apa trus mama ayah bingung kok gaikut lgsg kena marah disuruh daftar h closereg sbm dan cuma velajar minggu gimana mo lulus gan,1
231,titipan saya mau jual ini k kondisi masih oke baru dipake kali dulu beli sekitar k uang hasil penjualan nya mau saya kasih ke tetangga saya buat anak nya beli hp minat dm aja ya pictwittercommortmjy,0
233,pake uang baru,0
237,kak jadi pet cargonya beli pake uang donasi tapi kok udh ada di tiktok jam yang lalu sementara foto dan info di twitter baru jam apa gitu kumaha ini teh pictwittercomtbzkihlhs,0
239,tentuuuu kakak saya abis saya kasih tau juga jadi gt jadi pas udah mau jalan baru kasih uang nya wkwk,0
240,mohon izin pencerahan bang baru kerasa soalnya uang jajan mulai berkurang,0
246,pars men jadi ceritanya nyokap ultah ni hari tapi gue baru ngucapin sampe doi balik kerja trs bokap enggak ngucapin juga karna bokap emang lupa ultah sendiri aja lupa jing im sori mam plis uang jajan jangan seret,0
247,hy guys mlm ini hp saya redmi a yang belinya pake uang tabungan saya separo dan ditambahin pake uang bapaku separo akuu sama hp saya ini udah mau tahun bulan november nanti dan baru kali ini saya pake hp awet sampe bertaun pictwittercombkjmsixcf,0
251,semuanya berubah waktu saya masuk sma ya saya masuk sma memang dapat kemudahan banget karena lulusan dari smp yang sama yayasannya bahkan mungkin kalian baru tahu atau ngalamin sendiri saya sampai diberikan potongan uang masuk baca beasiswa,0
252,selamat malam tahun baru islam semoga di tahun yang baru ini saya punya banyak uang amiin heeeeee,0
254,ada yang dah punya uang rebu yang baru tu belum si saya pgn banget,0
259,saya disaat bersiap kembali liat status orang pada pamer uang rb baru dan rencana liburan buat besok pictwittercomobwrjvuqus,1
263,iya saya ngomongin mandiri secara general yang pake uang pangkal cuman di ub udah enggak gitu lagi d sekarang di ub kan keterima dulu baru muncul uang pangkalnya hehe,1
272,saya nekat hari ini ngetrip dengan uang paspasan nginep di rumah temen yang baru beberapa minggu saya kenal yang penting tetep positif aja dulu jalannya,0
273,lagi males mikir lagi banyak fikiran lagi stress buka twitter niat nya biar nemu katakata yang bisa bangkitin semangat tapi ternyata saya baru sadar uang juga bisa bangkitin semangat apalagi kalo tiba depan rumah yang barang nya gue pengen banget trs ada yang beliin ha,0
275,asli punya saya waktu itu belanja ke pim bawa uang jt sampe abis mamen deket banget malah sama dia asli deh kemana mana berdua shopping pun sekarang udah kayak orang enggak kenal dia punya temen baru saya mau gimana lagi guys emmm mungkin sisa yang kemarin paling jadi kenangan ajaa,0
279,beli baru aja nder pake uang kamu sendiri,0
281,masih banyak anak yang enggak bisa beli laptopenggak mampu dulu saya beli laptop dr hasil uang beasiswa ppa baru ditambahin sama ortu itupun semester ke baru punya sebelumnya pakai pny kakak diapun beli sendiri juga dulu jadi perhatian ortumu yang begitu luar biasa syukurilah,0
282,wow gila ini adek kelas gue yang baru masuk gede gedean uang pangkal yak wkwkwkkww jaman gue masuk masih ukt sih gapake uang pangkal jd undangan mandiri sbm sama semua bayarnya tergantung pendapatan ortu,0
283,besok tahun baru islam tapi saya enggak libur ya gapapa yang penting saya dpat uang jajan,0
286,bukan anak ekonomi tapi uang baru rb itu juga bisa jadi alat pembayaran yang sah ko cuman karena di produksinya sedikit memperingati hut ri dan desainnya yang bagus jadi kaya sayang aja kalo dibelanjain akhirnya jadi koleksipajangan,0
287,hmm gmn ya kalau saya enggak tega sih kalo hrs nerima semua apa yang dia pny misal uang dia sisa rb trs dikasih ke saya saya ya nolak dong karna itu uang terakhir dia kalo dia ada rb trs ksh ke saya rb baru saya trima karna dia ada pegangan cont,0
289,nungguu punya uang banyak baru nato lagi mahal ya sheyeng,0
